	gene	test_stats	test_mean	wt_stats	wt_mean	diff	search_mode	n_models	n_test	n_wt	seed	result_type	t_stat	p_value
0	CDKN2A	[0.5983934999999999, 0.58879078, 0.58921238, 0.59517654, 0.5947612800000001, 0.5884058, 0.5901754, 0.57993644, 0.59690674, 0.58738608, 0.58264586, 0.59341526, 0.5929523, 0.59482534, 0.58467602, 0.58989608, 0.59074748, 0.5893493399999999, 0.59327424, 0.59611162]	0.590851924	[0.55122422, 0.5674796599999999, 0.55922362, 0.57230262, 0.55986208, 0.56556672, 0.55515146, 0.5634794399999999, 0.5563658000000001, 0.56147194, 0.56314214, 0.55352818, 0.56786228, 0.56833304, 0.5733830799999999, 0.55723074, 0.56418524, 0.5643824599999999, 0.55211632, 0.55710628]	0.561669866	0.029182057999999955	amp	28	35	68	0	observed	16.225403157247467	1.129312336759511e-18
71	CDKN2A	[0.6258696399999999, 0.6213047, 0.6264128999999999, 0.6174664, 0.62272582, 0.62637812, 0.62583452, 0.61672618, 0.622284, 0.6295025200000001, 0.62413092, 0.6223236, 0.6249649, 0.62591292, 0.62296822, 0.62520076, 0.6234237, 0.62157798, 0.6117303, 0.61914488]	0.622794149	[0.592167, 0.6025739400000001, 0.59915168, 0.6070570200000001, 0.6018234800000001, 0.59680614, 0.61939208, 0.61637402, 0.6181813, 0.60438154, 0.6129707799999999, 0.60112906, 0.5977993, 0.5914651599999999, 0.61497082, 0.6190201000000001, 0.6189087400000001, 0.61446692, 0.62522546, 0.60374668]	0.607880561	0.014913587999999978	amp	59	74	175	33	empirical_null	6.127034217082276	3.811521073792183e-07
78	CDKN2A	[0.6463019400000001, 0.6505074999999999, 0.638892, 0.64919432, 0.6540492600000001, 0.65484888, 0.63861736, 0.6491599200000002, 0.64899146, 0.64086258, 0.6347206400000001, 0.65235578, 0.63468406, 0.6476714000000001, 0.64804108, 0.6461829, 0.6448351, 0.6428546199999999, 0.6438687200000001, 0.63912532]	0.645288242	[0.6404996, 0.63430444, 0.63031356, 0.6436134200000001, 0.64083478, 0.62716542, 0.64208316, 0.6255371200000001, 0.6233247, 0.63165412, 0.6363896199999999, 0.62228642, 0.6325079800000001, 0.63677384, 0.6227528, 0.6383945599999999, 0.6181194000000001, 0.62169762, 0.63491934, 0.63372776]	0.6318449829999999	0.013443259000000096	amp	96	121	149	92	empirical_null	6.19732508795979	3.053186178106049e-07
41	CDKN2A	[0.6364111600000001, 0.63949298, 0.6247839599999999, 0.65453298, 0.63067032, 0.6265877200000001, 0.6444116, 0.65134726, 0.64205434, 0.6633494600000001, 0.6476643799999999, 0.633232, 0.62988634, 0.6440686600000001, 0.63478756, 0.6272820800000001, 0.6497833199999999, 0.6586658400000001, 0.6407986199999999, 0.6404944799999999]	0.641015253	[0.6237252200000001, 0.63271242, 0.6313744, 0.63431334, 0.64389438, 0.63293784, 0.6327631399999999, 0.6354978199999999, 0.63674688, 0.63452238, 0.6398225, 0.63248068, 0.63498478, 0.6331006599999999, 0.63350918, 0.64210184, 0.6278897000000001, 0.6344154200000001, 0.6338378800000001, 0.63011268]	0.6340371570000001	0.006978095999999878	amp	93	173	117	169	empirical_null	2.648211707335905	0.011718470552037228
68	CDKN2A	[0.6364111600000001, 0.63949298, 0.6247839599999999, 0.65453298, 0.63067032, 0.6265877200000001, 0.6444116, 0.65134726, 0.64205434, 0.6633494600000001, 0.6476643799999999, 0.633232, 0.62988634, 0.6440686600000001, 0.63478756, 0.6272820800000001, 0.6497833199999999, 0.6586658400000001, 0.6407986199999999, 0.6404944799999999]	0.641015253	[0.6237252200000001, 0.63271242, 0.6313744, 0.63431334, 0.64389438, 0.63293784, 0.6327631399999999, 0.6354978199999999, 0.63674688, 0.63452238, 0.6398225, 0.63248068, 0.63498478, 0.6331006599999999, 0.63350918, 0.64210184, 0.6278897000000001, 0.6344154200000001, 0.6338378800000001, 0.63011268]	0.6340371570000001	0.006978095999999878	amp	93	173	117	169	empirical_null	2.648211707335905	0.011718470552037228
61	CDKN2A	[0.60377046, 0.5865989399999999, 0.59323098, 0.5958273599999999, 0.60513944, 0.59334306, 0.5956046, 0.5997761199999999, 0.5941859599999999, 0.58429922, 0.59239238, 0.58073058, 0.58711774, 0.60093388, 0.59952782, 0.5917843399999999, 0.5862878, 0.59081694, 0.60112062, 0.59412196]	0.59383051	[0.57555836, 0.5846745, 0.56729338, 0.58570132, 0.57941632, 0.57421746, 0.58782662, 0.5760570799999999, 0.58224038, 0.5933774599999999, 0.57474926, 0.562437, 0.57803096, 0.58561324, 0.58653962, 0.56975982, 0.57980858, 0.56747614, 0.5889187, 0.6007392]	0.58002177	0.013808739999999986	amp	32	40	109	273	empirical_null	5.326665827550887	4.766526923865616e-06
33	CDKN2A	[0.6286528200000001, 0.63625692, 0.6464402200000001, 0.6429838000000001, 0.6452112600000001, 0.64410282, 0.63461964, 0.65064094, 0.65161688, 0.64259612, 0.6452511, 0.63789174, 0.64497342, 0.64710432, 0.6347733400000001, 0.63895942, 0.64096186, 0.63790456, 0.6447702, 0.6418381599999999]	0.641877477	[0.6147844600000001, 0.5961297999999999, 0.6151400199999999, 0.6101207200000001, 0.61742994, 0.5889264399999999, 0.59819462, 0.62230484, 0.59852518, 0.6097107, 0.5950184000000001, 0.59683634, 0.5909882799999999, 0.6096857400000001, 0.59915544, 0.6031392, 0.6058965599999999, 0.59559884, 0.61360304, 0.58655976]	0.6033874159999999	0.038490061000000075	amp	66	83	163	299	empirical_null	14.666328321109557	3.132690509992079e-17
81	CDKN2A	[0.5953528, 0.6078585200000001, 0.59929392, 0.60964386, 0.60672488, 0.60308294, 0.59694682, 0.6040382599999999, 0.5904014, 0.60490158, 0.6037275599999999, 0.6035488999999999, 0.60390608, 0.5975633600000001, 0.5949146000000001, 0.60665926, 0.60626466, 0.6028158, 0.59791964, 0.60694148]	0.6021253160000002	[0.57883578, 0.5812158, 0.60226254, 0.5944458399999999, 0.6082663, 0.5754596, 0.6003019, 0.578915, 0.6109282, 0.61357308, 0.58677556, 0.5938507199999999, 0.60454764, 0.58281006, 0.58976886, 0.6112453999999999, 0.60180482, 0.59918968, 0.60011298, 0.58949812]	0.5951903940000001	0.006934922000000121	amp	38	48	194	332	empirical_null	2.401892440513327	0.021305670672497435
53	CDKN2A	[0.60503036, 0.60662896, 0.59749166, 0.59413782, 0.59459188, 0.5954463799999999, 0.6108651, 0.6006653399999999, 0.59683192, 0.62019906, 0.5982334, 0.6042208800000001, 0.5970291799999999, 0.61038202, 0.6091333200000001, 0.60263782, 0.6035075400000001, 0.59924316, 0.6042881200000001, 0.59712288]	0.6023843400000001	[0.62078542, 0.6099076999999999, 0.62424684, 0.6037705, 0.58769616, 0.59533046, 0.6147710599999999, 0.6007326, 0.59921726, 0.595227, 0.5961944, 0.61553032, 0.60792656, 0.6046369, 0.62827708, 0.6092612599999999, 0.6098966, 0.62096892, 0.6060768200000001, 0.62488394]	0.60876689	-0.006382549999999876	amp	53	67	188	346	empirical_null	-2.1725166412319377	0.03612171775250814
28	CDKN2A	[0.62363204, 0.62570526, 0.624953, 0.62146662, 0.6217280199999999, 0.60971608, 0.62667512, 0.6230443800000001, 0.6257461999999999, 0.63298506, 0.6301765, 0.6159399000000001, 0.6335731600000001, 0.62072562, 0.61984482, 0.61501882, 0.62424852, 0.6264458400000001, 0.62054546, 0.61420406]	0.622818724	[0.59888788, 0.5992852599999999, 0.59694258, 0.6107713800000001, 0.60488, 0.59392908, 0.59630998, 0.59495118, 0.60017162, 0.60254328, 0.58640764, 0.6028119, 0.60265838, 0.59945812, 0.58701096, 0.5901375799999999, 0.60338004, 0.59957946, 0.6183825000000001, 0.59298182]	0.599074032	0.023744692000000067	amp	55	69	164	428	empirical_null	10.965295992347654	2.4800169708146474e-13
57	CDKN2A	[0.61389748, 0.62009368, 0.59841678, 0.6026769399999999, 0.61806308, 0.61546066, 0.59457982, 0.60347962, 0.61032842, 0.59477738, 0.5980344200000001, 0.59594808, 0.6174957400000001, 0.61019484, 0.61635722, 0.60751288, 0.60333832, 0.6020373, 0.61327212, 0.60615732]	0.607106105	[0.5728479799999999, 0.5806519800000001, 0.58038736, 0.57138652, 0.57302148, 0.587051, 0.59234026, 0.5766100399999999, 0.5864613399999999, 0.5939339, 0.58806582, 0.60685828, 0.57836414, 0.58130696, 0.59390464, 0.5698011199999999, 0.61200406, 0.59283672, 0.58947164, 0.5909928600000001]	0.5859149049999999	0.021191200000000077	amp	32	40	134	482	empirical_null	6.761020112330949	5.18720144490802e-08
91	CDKN2A	[0.62556922, 0.63856044, 0.6338244199999999, 0.6200669, 0.6272082400000001, 0.6305633, 0.61666926, 0.63457918, 0.64865568, 0.6295588400000001, 0.6310306200000001, 0.6442110200000001, 0.62763878, 0.62792014, 0.6225375599999999, 0.64515502, 0.64043842, 0.6375392999999999, 0.62575206, 0.6237124799999999]	0.6315595440000001	[0.61963068, 0.62488632, 0.61043634, 0.6391137600000001, 0.61837544, 0.62975854, 0.62076194, 0.6268177199999999, 0.62318836, 0.62059478, 0.61388414, 0.62168726, 0.6144159600000001, 0.61888904, 0.623901, 0.61144444, 0.60318008, 0.60043796, 0.62111052, 0.61467686]	0.6188595570000001	0.01269998700000008	amp	69	87	190	566	empirical_null	4.596656425956056	4.6399137757432896e-05
35	CDKN2A	[0.5940306799999999, 0.6089780399999999, 0.6116848, 0.60688992, 0.61107314, 0.6056801799999999, 0.5944499, 0.5989655399999999, 0.60843572, 0.6059971000000001, 0.58802766, 0.59922558, 0.59833952, 0.5970424599999999, 0.60949616, 0.61490334, 0.60649228, 0.60617188, 0.60208874, 0.5980979]	0.6033035269999999	[0.57272932, 0.59992402, 0.57724452, 0.59727834, 0.60540562, 0.59834634, 0.5861234399999999, 0.5938578200000001, 0.59380582, 0.59911158, 0.61154382, 0.5867431000000001, 0.5824721199999999, 0.5784558599999999, 0.60160446, 0.5805878, 0.5764750599999999, 0.59999012, 0.5946640999999999, 0.59166098]	0.591401212	0.011902314999999941	amp	40	51	138	572	empirical_null	4.1441448626038015	0.00018369323075315908
