	gene	test_stats	test_mean	wt_stats	wt_mean	diff	search_mode	n_models	n_test	n_wt	seed	result_type	t_stat	p_value
0	CDKN2A	[0.535, 0.553125, 0.5875, 0.55125, 0.589375, 0.55875, 0.53125, 0.53875, 0.553125, 0.571875, 0.565625, 0.6075, 0.529375, 0.62875, 0.6931250000000001, 0.6062500000000001, 0.62625, 0.53625, 0.595, 0.608125]	0.5783125000000001	[0.52875, 0.5375000000000001, 0.54125, 0.518125, 0.5618750000000001, 0.5575, 0.468125, 0.550625, 0.58125, 0.5425, 0.6062500000000001, 0.5225000000000001, 0.565625, 0.54625, 0.510625, 0.5575, 0.551875, 0.5475, 0.536875, 0.5118750000000001]	0.5422187500000001	0.036093750000000036	lof	20	221	68	0	observed	3.16945368427971	0.0030137770545713804
42	CDKN2A	[0.521875, 0.595, 0.524375, 0.5812499999999999, 0.525625, 0.5375000000000001, 0.6162500000000001, 0.5743750000000001, 0.58125, 0.5399999999999999, 0.5481250000000001, 0.585, 0.51, 0.535625, 0.564375, 0.47374999999999995, 0.5787499999999999, 0.553125, 0.589375, 0.585625]	0.5560625	[0.508125, 0.658125, 0.5312499999999999, 0.549375, 0.5800000000000001, 0.660625, 0.589375, 0.6293749999999999, 0.6018749999999999, 0.663125, 0.631875, 0.581875, 0.530625, 0.544375, 0.505, 0.57625, 0.54125, 0.608125, 0.594375, 0.54625]	0.5815624999999999	-0.025499999999999856	lof	20	196	98	3	empirical_null	-1.8806310576165297	0.06770248788709544
57	CDKN2A	[0.5962500000000002, 0.6112500000000001, 0.6331249999999999, 0.503125, 0.49, 0.6275, 0.475, 0.650625, 0.47187499999999993, 0.579375, 0.539375, 0.6225, 0.486875, 0.5249999999999999, 0.620625, 0.5868749999999999, 0.69625, 0.54875, 0.571875, 0.638125]	0.57371875	[0.6125, 0.5656249999999999, 0.525625, 0.620625, 0.63375, 0.54375, 0.5093749999999999, 0.47187499999999993, 0.6468750000000001, 0.5774999999999999, 0.6025, 0.554375, 0.5393749999999999, 0.58875, 0.60125, 0.520625, 0.5387500000000001, 0.55, 0.56375, 0.629375]	0.5698125	0.00390625	lof	20	177	129	7	empirical_null	0.21680627023991625	0.8295191282350921
33	CDKN2A	[0.52875, 0.569375, 0.540625, 0.5418749999999999, 0.565625, 0.5875, 0.646875, 0.6643749999999999, 0.599375, 0.59625, 0.5275, 0.521875, 0.57125, 0.575625, 0.6231249999999999, 0.541875, 0.5337500000000001, 0.60875, 0.584375, 0.46625]	0.56975	[0.5974999999999999, 0.6056250000000001, 0.568125, 0.595625, 0.58125, 0.5618750000000001, 0.5818749999999999, 0.575625, 0.694375, 0.5299999999999999, 0.54125, 0.5818749999999999, 0.550625, 0.4987499999999999, 0.5900000000000001, 0.599375, 0.559375, 0.540625, 0.64625, 0.5475000000000001]	0.577375	-0.007624999999999993	lof	20	196	102	27	empirical_null	-0.5405431403072061	0.5919769975180365
26	CDKN2A	[0.549375, 0.5731250000000001, 0.628125, 0.5225, 0.5262500000000001, 0.5287499999999999, 0.613125, 0.470625, 0.59375, 0.598125, 0.625625, 0.6306250000000001, 0.57375, 0.59875, 0.635625, 0.593125, 0.515625, 0.46125000000000005, 0.59375, 0.645625]	0.573875	[0.571875, 0.57625, 0.505, 0.551875, 0.6268750000000001, 0.6506249999999999, 0.6068749999999999, 0.5518749999999999, 0.521875, 0.57125, 0.535625, 0.59125, 0.46562500000000007, 0.45062500000000005, 0.45437500000000003, 0.61375, 0.510625, 0.6018749999999999, 0.59375, 0.59875]	0.5575312499999999	0.0163437500000001	lof	20	193	109	33	empirical_null	0.9227406605468237	0.36196444163172226
60	CDKN2A	[0.6175, 0.5318750000000001, 0.591875, 0.5687499999999999, 0.594375, 0.5775, 0.638125, 0.5081249999999999, 0.5449999999999999, 0.581875, 0.5499999999999999, 0.5675, 0.52125, 0.643125, 0.5818749999999999, 0.6437499999999999, 0.593125, 0.5725, 0.531875, 0.5906250000000001]	0.57753125	[0.5874999999999999, 0.505, 0.545, 0.5449999999999999, 0.6612500000000001, 0.575625, 0.5362499999999999, 0.5543750000000001, 0.48250000000000004, 0.5825, 0.575625, 0.5925, 0.565, 0.5543750000000001, 0.565, 0.586875, 0.566875, 0.57375, 0.62625, 0.506875]	0.56440625	0.013125000000000053	lof	20	186	116	43	empirical_null	1.043905788961786	0.30312467694915934
48	CDKN2A	[0.50875, 0.5449999999999999, 0.566875, 0.57875, 0.6712499999999999, 0.626875, 0.538125, 0.6168750000000001, 0.518125, 0.524375, 0.535625, 0.5531250000000001, 0.50375, 0.6456250000000001, 0.5918749999999999, 0.553125, 0.52875, 0.5231250000000001, 0.5237499999999999, 0.5331250000000001]	0.55934375	[0.61125, 0.550625, 0.53125, 0.565625, 0.626875, 0.574375, 0.6881250000000001, 0.546875, 0.6331249999999999, 0.5618750000000001, 0.490625, 0.578125, 0.489375, 0.6337499999999998, 0.6581250000000001, 0.500625, 0.5906250000000001, 0.599375, 0.5700000000000001, 0.55375]	0.5777187500000001	-0.01837500000000003	lof	20	197	100	154	empirical_null	-1.140373080814865	0.2612675918600236
20	CDKN2A	[0.608125, 0.62625, 0.585, 0.5325, 0.555625, 0.56125, 0.5137499999999999, 0.526875, 0.49687499999999996, 0.5625, 0.5525, 0.5725, 0.553125, 0.57, 0.636875, 0.475, 0.558125, 0.571875, 0.551875, 0.621875]	0.561625	[0.606875, 0.5362499999999999, 0.6475, 0.47250000000000003, 0.539375, 0.5856250000000001, 0.643125, 0.54375, 0.544375, 0.543125, 0.62, 0.6006250000000001, 0.534375, 0.53125, 0.5349999999999999, 0.5212500000000001, 0.61, 0.521875, 0.5362499999999999, 0.485]	0.5579062499999999	0.003718750000000104	lof	20	200	97	290	empirical_null	0.2585880367498261	0.797348668322452
51	CDKN2A	[0.561875, 0.5581250000000001, 0.566875, 0.46125000000000005, 0.5618750000000001, 0.5518749999999999, 0.556875, 0.64375, 0.5775000000000001, 0.5825, 0.550625, 0.579375, 0.48499999999999993, 0.55125, 0.63625, 0.59375, 0.5343749999999999, 0.52625, 0.55625, 0.62]	0.56278125	[0.6024999999999999, 0.615, 0.63, 0.5581250000000001, 0.7175, 0.5725, 0.47875, 0.6174999999999999, 0.545, 0.48750000000000004, 0.58375, 0.65875, 0.6174999999999999, 0.6162500000000001, 0.5218750000000001, 0.6287499999999999, 0.5181250000000001, 0.52375, 0.6387499999999999, 0.438125]	0.5785	-0.015718750000000004	lof	20	175	118	323	empirical_null	-0.8618088244017931	0.3941986991329377
45	CDKN2A	[0.56875, 0.6168750000000001, 0.5868749999999999, 0.51375, 0.625, 0.54125, 0.57625, 0.621875, 0.6256250000000001, 0.52625, 0.608125, 0.5325, 0.5618750000000001, 0.563125, 0.595, 0.5725, 0.601875, 0.5775, 0.519375, 0.565625]	0.575	[0.719375, 0.6143750000000001, 0.459375, 0.568125, 0.499375, 0.64375, 0.56125, 0.5281250000000001, 0.65625, 0.4875, 0.6031249999999999, 0.5375000000000001, 0.493125, 0.57, 0.54875, 0.58375, 0.615, 0.5956250000000001, 0.5481250000000001, 0.568125]	0.5700312500000001	0.004968749999999855	lof	20	188	120	347	empirical_null	0.30800942047347046	0.7597572135088495
