TP53 Background,Test Condition,Gene Name,Number of cell lines sampled in each bootstrap,Number of test condition cell lines,Number of wild type cell lines,Total,BM mean in test condition,BM mean in wild-type condition,Difference,Absolute Difference,Two-sided t-test p-value,Bonferroni corrected p-value
lof,amp,MYOD1,20,27,190,217,0.6081,0.5656,0.0425,0.0425,,
wt,amp,RASA1,20,26,218,244,0.597,0.5561,0.0409,0.0409,,
lof,lof,BRCA1,20,25,173,198,0.6008,0.5622,0.0386,0.0386,,
lof,lof,PRPF8,20,226,33,259,0.568,0.6063,-0.0384,0.0384,,
wt,lof,FGFR1,20,37,184,221,0.5899,0.5516,0.0383,0.0383,,
lof,lof,MAP2K4,20,225,41,266,0.5644,0.6026,-0.0382,0.0382,,
lof,lof,POLE,20,25,202,227,0.6042,0.5667,0.0375,0.0375,,
lof,amp,SMARCB1,20,36,163,199,0.6058,0.5686,0.0372,0.0372,,
lof,lof,STAT3,20,26,187,213,0.6026,0.5658,0.0368,0.0368,,
lof,lof,STAT5A,20,26,185,211,0.6026,0.5662,0.0364,0.0364,,
wt,lof,SFRP1,20,31,187,218,0.5872,0.5511,0.0361,0.0361,,
wt,lof,PDGFRA,20,32,210,242,0.5906,0.5548,0.0359,0.0359,,
lof,lof,STAT5B,20,27,180,207,0.6015,0.5656,0.0359,0.0359,,
lof,amp,RECQL,20,63,180,243,0.5981,0.5626,0.0356,0.0356,,
wt,lof,ABRAXAS1,20,40,218,258,0.5919,0.5564,0.0355,0.0355,,
lof,lof,ERCC4,20,39,202,241,0.599,0.5638,0.0351,0.0351,,
wt,amp,ATR,20,38,204,242,0.5891,0.5543,0.0348,0.0348,,
wt,lof,ROBO1,20,33,198,231,0.5909,0.5561,0.0348,0.0348,,
wt,amp,AFF4,20,37,216,253,0.5898,0.5551,0.0347,0.0347,,
lof,amp,MAP3K1,20,35,196,231,0.6056,0.5711,0.0345,0.0345,,
wt,amp,TLX3,20,49,200,249,0.5859,0.5515,0.0344,0.0344,,
wt,amp,PDGFRB,20,47,203,250,0.59,0.5556,0.0343,0.0343,,
lof,amp,IL6ST,20,35,202,237,0.6055,0.5716,0.034,0.034,,
